name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-04-01 07:00:00,67802,3193,63326
Guangdong,Mainland China,2020-04-01 06:00:00,1501,8,1357
Henan,Mainland China,2020-03-29 02:00:00,1276,22,1251
Zhejiang,Mainland China,2020-03-31 02:00:00,1257,1,1226
Hunan,Mainland China,2020-03-22 18:00:00,1018,4,1014
Anhui,Mainland China,2020-03-09 01:00:00,990,6,984
Jiangxi,Mainland China,2020-03-29 02:00:00,937,1,934
Shandong,Mainland China,2020-04-02 01:00:00,775,7,753
Jiangsu,Mainland China,2020-03-31 02:00:00,646,0,631
Chongqing,Mainland China,2020-03-29 01:00:00,579,6,570
Sichuan,Mainland China,2020-04-01 02:00:00,552,3,536
Beijing,Mainland China,2020-03-31 06:00:00,580,8,418
Heilongjiang,Mainland China,2020-04-02 01:00:00,488,13,469
Shanghai,Mainland China,2020-04-02 01:00:00,522,6,343
Hebei,Mainland China,2020-04-02 01:00:00,325,6,310
Hong Kong,Hong Kong,2020-04-01 12:00:00,765,4,147
Fujian,Mainland China,2020-04-01 06:00:00,345,1,297
Guangxi,Mainland China,2020-04-01 18:00:00,254,2,252
Shaanxi,Mainland China,2020-04-01 02:00:00,255,3,242
Yunnan,Mainland China,2020-04-02 00:00:00,183,2,172
Taiwan,Taiwan,2020-04-01 11:00:00,329,5,39
Hainan,Mainland China,2020-03-24 05:00:00,168,6,162
Guizhou,Mainland China,2020-03-17 02:00:00,146,2,144
Tianjin,Mainland China,2020-04-01 11:00:00,176,3,135
Gansu,Mainland China,2020-03-29 15:00:00,138,2,125
Shanxi,Mainland China,2020-04-01 00:00:00,137,0,133
Liaoning,Mainland China,2020-04-01 01:00:00,140,2,124
Jilin,Mainland China,2020-03-29 01:00:00,98,1,92
Xinjiang Uygur,Mainland China,2020-03-09 01:00:00,76,3,73
Nei Mongol,Mainland China,2020-04-02 00:00:00,117,1,74
Ningxia,Mainland China,2020-03-17 02:00:00,75,0,75
Macau,Macau,2020-03-31 14:00:00,41,0,10
Qinghai,Mainland China,2020-03-07 01:00:00,18,0,18
Xizang,Mainland China,2020-02-12 07:00:00,1,0,1
Burundi,Burundi,2020-03-31 19:00:00,2,0,0
Sierra Leone,Sierra Leone,2020-04-02 02:00:00,2,0,0
Botswana,Botswana,2020-04-01 01:00:00,4,1,0
Anguilla,Anguilla,2020-03-30 13:00:00,2,0,0
Saint Barthelemy,Saint Barthelemy,2020-03-30 16:00:00,6,0,1
Bermuda,Bermuda,2020-03-31 22:00:00,32,0,10
Faroe Islands,Faroe Islands,2020-04-01 11:00:00,173,0,75
Gibraltar,Gibraltar,2020-04-01 19:00:00,81,0,34
Isle of Man,Isle of Man,2020-04-02 02:00:00,68,1,0
Saint Martin,Saint Martin,2020-04-02 02:00:00,22,1,2
Montserrat,Montserrat,2020-03-30 13:00:00,5,0,0
Mayotte,Mayotte,2020-04-02 02:00:00,101,1,10
New Caledonia,New Caledonia,2020-03-31 11:00:00,16,0,0
Sint Maarten,Sint Maarten,2020-04-01 14:00:00,16,1,6
Turks and Caicos Islands,Turks and Caicos Islands,2020-04-01 15:00:00,6,0,0
Republic of the Congo,Republic of the Congo,2020-04-02 02:00:00,22,2,0
Angola,Angola,2020-04-02 02:00:00,8,2,1
Benin,Benin,2020-04-02 02:00:00,13,0,1
Bahamas,Bahamas,2020-04-02 02:00:00,21,1,1
Belize,Belize,2020-03-30 18:00:00,3,0,0
Barbados,Barbados,2020-04-02 02:00:00,45,0,0
Central African Republic,Central African Republic,2020-03-26 17:00:00,3,0,0
Cabo Verde,Cabo Verde,2020-03-29 01:00:00,6,1,0
Djibouti,Djibouti,2020-04-01 19:00:00,33,0,0
Dominica,Dominica,2020-03-31 01:00:00,12,0,0
Eritrea,Eritrea,2020-03-31 01:00:00,15,0,0
Fiji,Fiji,2020-03-26 17:00:00,5,0,0
Gambia,Gambia,2020-03-29 21:00:00,4,1,0
Guinea-Bissau,Guinea-Bissau,2020-04-02 02:00:00,9,0,0
Equatorial Guinea,Equatorial Guinea,2020-04-01 01:00:00,15,0,1
Grenada,Grenada,2020-04-02 02:00:00,10,0,0
