name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-01 23:33:00,9074,294,215
Zhejiang,Mainland China,2020-02-02 02:13:00,661,0,23
Guangdong,Mainland China,2020-02-02 01:23:00,604,0,14
Henan,Mainland China,2020-02-02 00:53:00,493,2,4
Hunan,Mainland China,2020-02-02 01:53:00,463,0,8
Anhui,Mainland China,2020-02-02 01:33:00,340,0,5
Jiangxi,Mainland China,2020-02-02 01:23:00,333,0,10
Chongqing,Mainland China,2020-02-01 23:43:00,262,1,3
Jiangsu,Mainland China,2020-02-02 01:13:00,236,0,6
Sichuan,Mainland China,2020-02-02 01:03:00,231,1,3
Shandong,Mainland China,2020-02-02 01:03:00,225,0,5
Beijing,Mainland China,2020-02-02 03:05:00,183,1,9
Shanghai,Mainland China,2020-02-02 00:23:00,177,1,10
Fujian,Mainland China,2020-02-02 03:43:00,159,0,0
Shaanxi,Mainland China,2020-02-02 03:23:00,116,0,0
Guangxi,Mainland China,2020-02-02 00:23:00,111,0,2
Hebei,Mainland China,2020-02-02 02:53:00,104,1,3
Heilongjiang,Mainland China,2020-02-02 03:23:00,95,2,2
Yunnan,Mainland China,2020-02-01 15:53:00,93,0,2
Liaoning,Mainland China,2020-02-01 15:23:00,64,0,1
Hainan,Mainland China,2020-02-02 01:03:00,63,1,1
Shanxi,Mainland China,2020-02-01 23:33:00,56,0,1
Tianjin,Mainland China,2020-02-02 02:03:00,45,0,0
Gansu,Mainland China,2020-02-01 15:43:00,40,0,0
Guizhou,Mainland China,2020-02-02 01:03:00,38,0,2
Ningxia,Mainland China,2020-02-02 01:43:00,28,0,0
Nei Mongol,Mainland China,2020-02-02 03:43:00,27,0,1
Jilin,Mainland China,2020-02-02 02:33:00,23,0,1
Xinjiang Uygur,Mainland China,2020-02-02 00:43:00,21,0,0
Japan,Japan,2020-02-01 18:53:00,20,0,1
Thailand,Thailand,2020-01-31 10:37:00,19,0,5
Singapore,Singapore,2020-02-02 01:03:00,18,0,0
South Korea,South Korea,2020-02-02 02:23:00,15,0,0
Hong Kong,Hong Kong,2020-02-02 01:03:00,14,0,0
Australia,Australia,2020-02-01 18:12:00,12,0,2
Taiwan,Taiwan,2020-01-31 15:20:00,10,0,0
Qinghai,Mainland China,2020-02-01 05:37:00,9,0,0
Germany,Germany,2020-02-01 23:33:00,8,0,0
Malaysia,Malaysia,2020-01-31 08:15:00,8,0,0
Macau,Macau,2020-01-31 08:15:00,7,0,0
France,France,2020-02-01 01:52:00,6,0,0
Vietnam,Vietnam,2020-02-01 07:38:00,6,0,1
Canada,Canada,2020-02-01 18:12:00,4,0,0
United Arab Emirates,United Arab Emirates,2020-01-31 08:15:00,4,0,0
California,USA,2020-02-01 19:53:00,3,0,0
Illinois,USA,2020-02-01 19:43:00,2,0,0
Italy,Italy,2020-01-31 08:15:00,2,0,0
Philippines,Philippines,2020-02-02 03:33:00,2,1,0
Russia,Russia,2020-01-31 16:13:00,2,0,0
United Kingdom,United Kingdom,2020-02-01 01:52:00,2,0,0
Arizona,USA,2020-02-01 19:43:00,1,0,0
Cambodia,Cambodia,2020-01-31 08:15:00,1,0,0
Finland,Finland,2020-01-31 08:15:00,1,0,0
India,India,2020-01-31 08:15:00,1,0,0
Massachusetts,USA,2020-02-01 19:43:00,1,0,0
Nepal,Nepal,2020-01-31 08:15:00,1,0,0
Spain,Spain,2020-02-01 23:43:00,1,0,0
Sri Lanka,Sri Lanka,2020-01-31 08:15:00,1,0,0
Sweden,Sweden,2020-02-01 02:13:00,1,0,0
Xizang,Mainland China,2020-02-01 01:52:00,1,0,0
Washington,USA,2020-02-01 19:43:00,1,0,0
