name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-04-27 02:00:00,68128,4512,63616
Guangdong,Mainland China,2020-04-29 03:00:00,1588,8,1554
Henan,Mainland China,2020-04-14 01:00:00,1276,22,1254
Zhejiang,Mainland China,2020-04-27 03:00:00,1268,1,1258
Hong Kong,Hong Kong,2020-04-27 10:00:00,1037,4,772
Hunan,Mainland China,2020-04-18 02:00:00,1019,4,1015
Anhui,Mainland China,2020-04-24 02:00:00,991,6,985
Jiangxi,Mainland China,2020-04-10 02:00:00,937,1,936
Heilongjiang,Mainland China,2020-04-28 01:00:00,939,13,586
Shandong,Mainland China,2020-04-27 01:00:00,787,7,768
Jiangsu,Mainland China,2020-04-14 02:00:00,653,0,646
Chongqing,Mainland China,2020-04-24 02:00:00,579,6,573
Beijing,Mainland China,2020-04-27 03:00:00,593,9,525
Shanghai,Mainland China,2020-04-29 03:00:00,645,7,584
Sichuan,Mainland China,2020-04-24 02:00:00,561,3,558
Taiwan,Taiwan,2020-04-26 08:00:00,429,6,281
Fujian,Mainland China,2020-04-25 01:00:00,355,1,349
Hebei,Mainland China,2020-04-25 02:00:00,328,6,318
Shaanxi,Mainland China,2020-04-28 03:00:00,306,3,253
Guangxi,Mainland China,2020-04-01 18:00:00,254,2,252
Nei Mongol,Mainland China,2020-04-28 01:00:00,199,1,145
Shanxi,Mainland China,2020-04-26 00:00:00,197,0,157
Tianjin,Mainland China,2020-04-26 12:00:00,190,3,182
Yunnan,Mainland China,2020-04-25 01:00:00,185,2,180
Hainan,Mainland China,2020-03-24 05:00:00,168,6,162
Guizhou,Mainland China,2020-04-19 01:00:00,147,2,145
Liaoning,Mainland China,2020-04-20 01:00:00,146,2,143
Gansu,Mainland China,2020-04-16 14:00:00,139,2,137
Jilin,Mainland China,2020-04-27 01:00:00,110,1,99
Xinjiang Uygur,Mainland China,2020-03-09 01:00:00,76,3,73
Ningxia,Mainland China,2020-03-17 02:00:00,75,0,75
Macau,Macau,2020-04-26 15:00:00,45,0,31
Qinghai,Mainland China,2020-03-07 01:00:00,18,0,18
Xizang,Mainland China,2020-02-23 12:00:00,1,0,1
Yemen,Yemen,2020-04-18 00:00:00,1,0,0
Sao Tome and Principe,Sao Tome and Principe,2020-04-28 11:00:00,8,0,4
Saint Pierre and Miquelon,Saint Pierre and Miquelon,2020-04-18 00:00:00,1,0,0
South Sudan,South Sudan,2020-04-29 00:00:00,34,0,0
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),2020-04-05 20:00:00,2,0,0
Malawi,Malawi,2020-04-27 14:00:00,36,3,4
Burundi,Burundi,2020-04-22 10:00:00,11,1,4
Sierra Leone,Sierra Leone,2020-04-28 16:00:00,104,4,12
Botswana,Botswana,2020-04-29 00:00:00,23,1,0
Anguilla,Anguilla,2020-04-02 17:00:00,3,0,0
Saint Barthelemy,Saint Barthelemy,2020-03-30 16:00:00,6,0,1
Bermuda,Bermuda,2020-04-28 11:00:00,110,6,44
Faroe Islands,Faroe Islands,2020-04-23 11:00:00,187,0,178
Gibraltar,Gibraltar,2020-04-27 01:00:00,141,0,131
Isle of Man,Isle of Man,2020-04-28 18:00:00,309,21,252
Saint Martin,Saint Martin,2020-04-22 03:00:00,38,2,19
Montserrat,Montserrat,2020-04-18 00:00:00,11,0,1
Mayotte,Mayotte,2020-04-28 13:00:00,460,4,235
