name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-05-10 03:00:00,68129,4512,63616
Guangdong,Mainland China,2020-05-10 03:00:00,1589,8,1576
Henan,Mainland China,2020-05-10 03:00:00,1276,22,1254
Zhejiang,Mainland China,2020-05-10 03:00:00,1268,1,1267
Hong Kong,Hong Kong,2020-05-10 03:00:00,1044,4,967
Hunan,Mainland China,2020-05-10 03:00:00,1019,4,1015
Anhui,Mainland China,2020-05-10 03:00:00,991,6,985
Jiangxi,Mainland China,2020-05-10 03:00:00,937,1,936
Heilongjiang,Mainland China,2020-05-10 03:00:00,944,13,891
Shandong,Mainland China,2020-05-10 03:00:00,788,7,776
Jiangsu,Mainland China,2020-05-10 03:00:00,653,0,652
Chongqing,Mainland China,2020-05-10 03:00:00,579,6,573
Beijing,Mainland China,2020-05-10 03:00:00,593,9,565
Shanghai,Mainland China,2020-05-10 03:00:00,659,7,626
Sichuan,Mainland China,2020-05-10 03:00:00,561,3,558
Taiwan,Taiwan,2020-05-10 03:00:00,440,6,361
Fujian,Mainland China,2020-05-10 03:00:00,356,1,354
Hebei,Mainland China,2020-05-10 03:00:00,328,6,321
Shaanxi,Mainland China,2020-05-10 03:00:00,308,3,293
Guangxi,Mainland China,2020-05-10 03:00:00,254,2,252
Nei Mongol,Mainland China,2020-05-10 03:00:00,201,1,184
Shanxi,Mainland China,2020-05-10 03:00:00,198,0,197
Tianjin,Mainland China,2020-05-10 03:00:00,191,3,186
Yunnan,Mainland China,2020-05-10 03:00:00,185,2,183
Hainan,Mainland China,2020-05-10 03:00:00,168,6,162
Guizhou,Mainland China,2020-05-10 03:00:00,147,2,145
Liaoning,Mainland China,2020-05-10 03:00:00,146,2,144
Gansu,Mainland China,2020-05-10 03:00:00,139,2,137
Jilin,Mainland China,2020-05-10 03:00:00,124,1,105
Xinjiang Uygur,Mainland China,2020-05-10 03:00:00,76,3,73
Ningxia,Mainland China,2020-05-10 03:00:00,75,0,75
Macau,Macau,2020-05-10 03:00:00,45,0,40
Qinghai,Mainland China,2020-05-10 03:00:00,18,0,18
Xizang,Mainland China,2020-05-10 03:00:00,1,0,1
Comoros,Comoros,2020-05-10 03:00:00,11,1,0
Tajikistan,Tajikistan,2020-05-10 03:00:00,612,20,0
