name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-05-21 03:00:00,68135,4512,63616
Guangdong,Mainland China,2020-05-21 03:00:00,1590,8,1579
Henan,Mainland China,2020-05-21 03:00:00,1276,22,1254
Zhejiang,Mainland China,2020-05-21 03:00:00,1268,1,1267
Hong Kong,Hong Kong,2020-05-21 03:00:00,1055,4,1025
Hunan,Mainland China,2020-05-21 03:00:00,1019,4,1015
Anhui,Mainland China,2020-05-21 03:00:00,991,6,985
Jiangxi,Mainland China,2020-05-21 03:00:00,937,1,936
Heilongjiang,Mainland China,2020-05-21 03:00:00,945,13,932
Shandong,Mainland China,2020-05-21 03:00:00,788,7,780
Jiangsu,Mainland China,2020-05-21 03:00:00,653,0,653
Chongqing,Mainland China,2020-05-21 03:00:00,579,6,573
Beijing,Mainland China,2020-05-21 03:00:00,593,9,578
Shanghai,Mainland China,2020-05-21 03:00:00,666,7,641
Sichuan,Mainland China,2020-05-21 03:00:00,561,3,558
Taiwan,Taiwan,2020-05-21 03:00:00,440,7,398
Fujian,Mainland China,2020-05-21 03:00:00,356,1,355
Hebei,Mainland China,2020-05-21 03:00:00,328,6,322
Shaanxi,Mainland China,2020-05-21 03:00:00,308,3,303
Guangxi,Mainland China,2020-05-21 03:00:00,254,2,252
Nei Mongol,Mainland China,2020-05-21 03:00:00,216,1,196
Shanxi,Mainland China,2020-05-21 03:00:00,198,0,198
Tianjin,Mainland China,2020-05-21 03:00:00,192,3,187
Yunnan,Mainland China,2020-05-21 03:00:00,185,2,183
Hainan,Mainland China,2020-05-21 03:00:00,169,6,162
Guizhou,Mainland China,2020-05-21 03:00:00,147,2,145
Liaoning,Mainland China,2020-05-21 03:00:00,149,2,144
Gansu,Mainland China,2020-05-21 03:00:00,139,2,137
Jilin,Mainland China,2020-05-21 03:00:00,151,2,123
Xinjiang Uygur,Mainland China,2020-05-21 03:00:00,76,3,73
Ningxia,Mainland China,2020-05-21 03:00:00,75,0,75
Macau,Macau,2020-05-21 03:00:00,45,0,44
Qinghai,Mainland China,2020-05-21 03:00:00,18,0,18
Xizang,Mainland China,2020-05-21 03:00:00,1,0,1
Comoros,Comoros,2020-05-21 03:00:00,34,1,8
Tajikistan,Tajikistan,2020-05-21 03:00:00,2140,41,470
Yemen,Yemen,2020-05-21 03:00:00,184,30,5
Sao Tome and Principe,Sao Tome and Principe,2020-05-21 03:00:00,251,8,4
Saint Pierre and Miquelon,Saint Pierre and Miquelon,2020-05-21 03:00:00,1,0,1
South Sudan,South Sudan,2020-05-21 03:00:00,290,4,4
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),2020-04-05 20:00:00,2,0,0
Malawi,Malawi,2020-05-21 03:00:00,71,3,27
Burundi,Burundi,2020-05-21 03:00:00,42,1,20
Sierra Leone,Sierra Leone,2020-05-21 03:00:00,570,34,205
Botswana,Botswana,2020-05-21 03:00:00,25,1,17
Anguilla,Anguilla,2020-05-21 03:00:00,3,0,3
Saint Barthelemy,Saint Barthelemy,2020-05-21 03:00:00,6,0,6
Bermuda,Bermuda,2020-05-21 03:00:00,125,9,80
Faroe Islands,Faroe Islands,2020-05-21 03:00:00,187,0,187
Gibraltar,Gibraltar,2020-05-21 03:00:00,149,0,145
Isle of Man,Isle of Man,2020-05-21 03:00:00,336,24,302
Saint Martin,Saint Martin,2020-05-21 03:00:00,40,3,33
Montserrat,Montserrat,2020-05-21 03:00:00,11,1,10
Mayotte,Mayotte,2020-05-21 03:00:00,1475,19,894
New Caledonia,New Caledonia,2020-05-21 03:00:00,18,0,18
Sint Maarten,Sint Maarten,2020-05-21 03:00:00,77,15,54
Turks and Caicos Islands,Turks and Caicos Islands,2020-05-21 03:00:00,12,1,10
Republic of the Congo,Republic of the Congo,2020-05-21 03:00:00,420,15,132
Angola,Angola,2020-05-21 03:00:00,52,3,17
Benin,Benin,2020-05-21 03:00:00,130,2,57
Bahamas,Bahamas,2020-05-21 03:00:00,97,11,43
Belize,Belize,2020-05-21 03:00:00,18,2,16
Barbados,Barbados,2020-05-21 03:00:00,90,7,70
Central African Republic,Central African Republic,2020-05-21 03:00:00,418,0,18
Cabo Verde,Cabo Verde,2020-05-21 03:00:00,349,3,85
Djibouti,Djibouti,2020-05-21 03:00:00,1828,9,1052
Dominica,Dominica,2020-05-21 03:00:00,16,0,16
Eritrea,Eritrea,2020-05-21 03:00:00,39,0,39
Fiji,Fiji,2020-05-21 03:00:00,18,0,15
Gambia,Gambia,2020-05-21 03:00:00,24,1,13
Guinea-Bissau,Guinea-Bissau,2020-05-21 03:00:00,1089,6,42
Equatorial Guinea,Equatorial Guinea,2020-05-21 03:00:00,890,7,22
Grenada,Grenada,2020-05-21 03:00:00,22,0,17
Haiti,Haiti,2020-05-21 03:00:00,596,22,21
Kyrgyzstan,Kyrgyzstan,2020-05-21 03:00:00,1270,14,910
Saint Kitts and Nevis,Saint Kitts and Nevis,2020-05-21 03:00:00,15,0,15
Laos,Laos,2020-05-21 03:00:00,19,0,14
Liberia,Liberia,2020-05-21 03:00:00,238,23,128
Libya,Libya,2020-05-21 03:00:00,69,3,35
Madagascar,Madagascar,2020-05-21 03:00:00,371,2,131
Mali,Mali,2020-05-21 03:00:00,931,55,543
Montenegro,Montenegro,2020-05-21 03:00:00,324,9,312
Mozambique,Mozambique,2020-05-21 03:00:00,156,0,48
Mauritius,Mauritius,2020-04-27 17:00:00,334,9,302
Niger,Niger,2020-05-21 03:00:00,920,58,738
Nicaragua,Nicaragua,2020-05-21 03:00:00,254,17,199
Papua New Guinea,Papua New Guinea,2020-05-21 03:00:00,8,0,8
El Salvador,El Salvador,2020-05-21 03:00:00,1571,31,537
Somalia,Somalia,2020-05-21 03:00:00,1573,61,188
Kosovo,Kosovo,2020-05-21 03:00:00,989,29,769
Syria,Syria,2020-05-21 03:00:00,58,3,36
Chad,Chad,2020-05-21 03:00:00,565,57,177
Timor-Leste,Timor-Leste,2020-05-21 03:00:00,24,0,24
Tanzania,Tanzania,2020-05-21 03:00:00,509,21,183
Uganda,Uganda,2020-05-21 03:00:00,264,0,65
Zambia,Zambia,2020-05-21 03:00:00,832,7,197
Zimbabwe,Zimbabwe,2020-05-21 03:00:00,48,4,18
Russia,Russia,2020-05-21 03:00:00,308705,2972,85392
Spain,Spain,2020-05-20 23:00:00,279524,27888,196958
United Kingdom,United Kingdom,2020-05-20 20:00:00,249616,35785,1103
France,France,2020-05-20,143845,28132,63354
Turkey,Turkey,2020-05-21 03:00:00,152587,4222,113987
Iran,Iran,2020-05-21 03:00:00,126949,7183,98808
Saudi Arabia,Saudi Arabia,2020-05-21 03:00:00,62545,339,33478
Netherlands,Netherlands,2020-05-20 13:00:00,44647,5767,6
Mexico,Mexico,2020-05-20 17:00:00,54346,5666,37325
Pakistan,Pakistan,2020-05-21 03:00:00,45898,985,13101
Ecuador,Ecuador,2020-05-21 03:00:00,34854,2888,3557
