name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-05-04 03:00:00,68128,4512,63616
Guangdong,Mainland China,2020-05-04 03:00:00,1588,8,1569
Henan,Mainland China,2020-05-04 03:00:00,1276,22,1254
Zhejiang,Mainland China,2020-05-04 03:00:00,1268,1,1265
Hong Kong,Hong Kong,2020-05-04 03:00:00,1039,4,879
Hunan,Mainland China,2020-05-04 03:00:00,1019,4,1015
Anhui,Mainland China,2020-05-04 03:00:00,991,6,985
Jiangxi,Mainland China,2020-05-04 03:00:00,937,1,936
Heilongjiang,Mainland China,2020-05-04 03:00:00,944,13,657
Shandong,Mainland China,2020-05-04 03:00:00,788,7,773
Jiangsu,Mainland China,2020-05-04 03:00:00,653,0,650
Chongqing,Mainland China,2020-05-04 03:00:00,579,6,573
Beijing,Mainland China,2020-05-04 03:00:00,593,9,553
Shanghai,Mainland China,2020-05-04 03:00:00,655,7,615
Sichuan,Mainland China,2020-05-04 03:00:00,561,3,558
Taiwan,Taiwan,2020-05-04 03:00:00,436,6,332
Fujian,Mainland China,2020-05-04 03:00:00,356,1,353
Hebei,Mainland China,2020-05-04 03:00:00,328,6,318
Shaanxi,Mainland China,2020-05-04 03:00:00,306,3,263
Guangxi,Mainland China,2020-05-04 03:00:00,254,2,252
Nei Mongol,Mainland China,2020-05-04 03:00:00,201,1,156
Shanxi,Mainland China,2020-05-04 03:00:00,198,0,180
Tianjin,Mainland China,2020-05-04 03:00:00,190,3,186
Yunnan,Mainland China,2020-05-04 03:00:00,185,2,181
Hainan,Mainland China,2020-05-04 03:00:00,168,6,162
Guizhou,Mainland China,2020-05-04 03:00:00,147,2,145
Liaoning,Mainland China,2020-05-04 03:00:00,146,2,144
Gansu,Mainland China,2020-05-04 03:00:00,139,2,137
Jilin,Mainland China,2020-05-04 03:00:00,112,1,103
Xinjiang Uygur,Mainland China,2020-05-04 03:00:00,76,3,73
Ningxia,Mainland China,2020-05-04 03:00:00,75,0,75
Macau,Macau,2020-05-04 03:00:00,45,0,39
Qinghai,Mainland China,2020-05-04 03:00:00,18,0,18
Xizang,Mainland China,2020-05-04 03:00:00,1,0,1
Comoros,Comoros,2020-05-04 03:00:00,3,0,0
Tajikistan,Tajikistan,2020-05-04 03:00:00,128,2,0
Yemen,Yemen,2020-05-04 03:00:00,10,2,1
Sao Tome and Principe,Sao Tome and Principe,2020-05-04 03:00:00,16,1,4
Saint Pierre and Miquelon,Saint Pierre and Miquelon,2020-05-04 03:00:00,1,0,0
South Sudan,South Sudan,2020-05-04 03:00:00,46,0,0
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),2020-04-05 20:00:00,2,0,0
Malawi,Malawi,2020-05-04 03:00:00,39,3,9
Burundi,Burundi,2020-05-04 03:00:00,15,1,7
Sierra Leone,Sierra Leone,2020-05-04 03:00:00,166,8,29
Botswana,Botswana,2020-05-04 03:00:00,23,1,8
Anguilla,Anguilla,2020-05-04 03:00:00,3,0,3
Saint Barthelemy,Saint Barthelemy,2020-05-04 03:00:00,6,0,6
Bermuda,Bermuda,2020-05-04 03:00:00,115,7,51
Faroe Islands,Faroe Islands,2020-05-04 03:00:00,187,0,185
Gibraltar,Gibraltar,2020-05-04 03:00:00,144,0,132
Isle of Man,Isle of Man,2020-05-04 03:00:00,321,22,271
